station_id,uid,name,city,country,provider,lat,lon,params_json,last_update,meta_json
aqicn--416842,-416842,Jakarta GBK,Jakarta GBK,ID,AQICN,-6.2154998779296875,106.8030014038086,[],,"{""uid"": -416842, ""name"": ""Jakarta GBK"", ""city"": ""Jakarta GBK"", ""lat"": -6.2154998779296875, ""lon"": 106.8030014038086}"
aqicn--519139,-519139,Kabupaten Merauke Mandala,Kabupaten Merauke Mandala,ID,AQICN,-8.508919715881348,140.41000366210938,[],,"{""uid"": -519139, ""name"": ""Kabupaten Merauke Mandala"", ""city"": ""Kabupaten Merauke Mandala"", ""lat"": -8.508919715881348, ""lon"": 140.41000366210938}"
aqicn--416941,-416941,Mamuju Ahmad Kirang,Mamuju Ahmad Kirang,ID,AQICN,-2.676949977874756,118.88999938964844,[],,"{""uid"": -416941, ""name"": ""Mamuju Ahmad Kirang"", ""city"": ""Mamuju Ahmad Kirang"", ""lat"": -2.676949977874756, ""lon"": 118.88999938964844}"
aqicn--568273,-568273,Kabupaten Kutai Barat Sendawar,Kabupaten Kutai Barat Sendawar,ID,AQICN,-0.23409999907016754,115.69300079345703,[],,"{""uid"": -568273, ""name"": ""Kabupaten Kutai Barat Sendawar"", ""city"": ""Kabupaten Kutai Barat Sendawar"", ""lat"": -0.23409999907016754, ""lon"": 115.69300079345703}"
aqicn--531556,-531556,Kabupaten Lampung Selatan Way Urang,Kabupaten Lampung Selatan Way Urang,ID,AQICN,-5.716100215911865,105.58200073242188,[],,"{""uid"": -531556, ""name"": ""Kabupaten Lampung Selatan Way Urang"", ""city"": ""Kabupaten Lampung Selatan Way Urang"", ""lat"": -5.716100215911865, ""lon"": 105.58200073242188}"
aqicn--519136,-519136,Kabupaten Sekadau Sekadau Hilir,Kabupaten Sekadau Sekadau Hilir,ID,AQICN,0.005369000136852264,110.89099884033203,[],,"{""uid"": -519136, ""name"": ""Kabupaten Sekadau Sekadau Hilir"", ""city"": ""Kabupaten Sekadau Sekadau Hilir"", ""lat"": 0.005369000136852264, ""lon"": 110.89099884033203}"
aqicn-13647,13647,"Malang, Indonesia",Malang,ID,AQICN,-7.9551897,112.6119383,[],,"{""uid"": 13647, ""name"": ""Malang, Indonesia"", ""city"": ""Malang"", ""lat"": -7.9551897, ""lon"": 112.6119383}"
aqicn-8288,8288,"Pekanbaru, Indonesia",Pekanbaru,ID,AQICN,0.46667,101.4666,[],,"{""uid"": 8288, ""name"": ""Pekanbaru, Indonesia"", ""city"": ""Pekanbaru"", ""lat"": 0.46667, ""lon"": 101.4666}"
aqicn--519115,-519115,Kota Pasuruan Petamanan,Kota Pasuruan Petamanan,ID,AQICN,-7.6555399894714355,112.90699768066406,[],,"{""uid"": -519115, ""name"": ""Kota Pasuruan Petamanan"", ""city"": ""Kota Pasuruan Petamanan"", ""lat"": -7.6555399894714355, ""lon"": 112.90699768066406}"
aqicn-13644,13644,"Bengkulu, Indonesia",Bengkulu,ID,AQICN,-3.865,102.312,[],,"{""uid"": 13644, ""name"": ""Bengkulu, Indonesia"", ""city"": ""Bengkulu"", ""lat"": -3.865, ""lon"": 102.312}"
aqicn--416758,-416758,Banjarmasin Kayu Tangi,Banjarmasin Kayu Tangi,ID,AQICN,-3.295938014984131,114.5893783569336,[],,"{""uid"": -416758, ""name"": ""Banjarmasin Kayu Tangi"", ""city"": ""Banjarmasin Kayu Tangi"", ""lat"": -3.295938014984131, ""lon"": 114.5893783569336}"
aqicn--416908,-416908,Solo Manahan,Solo Manahan,ID,AQICN,-7.554540157318115,110.80599975585938,[],,"{""uid"": -416908, ""name"": ""Solo Manahan"", ""city"": ""Solo Manahan"", ""lat"": -7.554540157318115, ""lon"": 110.80599975585938}"
aqicn--531565,-531565,Jakarta Timur Kebon Nanas,Jakarta Timur Kebon Nanas,ID,AQICN,-6.233850002288818,106.87699890136719,[],,"{""uid"": -531565, ""name"": ""Jakarta Timur Kebon Nanas"", ""city"": ""Jakarta Timur Kebon Nanas"", ""lat"": -6.233850002288818, ""lon"": 106.87699890136719}"
aqicn--416776,-416776,Jambi Paal Lima,Jambi Paal Lima,ID,AQICN,-1.6297229528427124,103.60739135742188,[],,"{""uid"": -416776, ""name"": ""Jambi Paal Lima"", ""city"": ""Jambi Paal Lima"", ""lat"": -1.6297229528427124, ""lon"": 103.60739135742188}"
aqicn--536509,-536509,Kabupaten Manggarai Barat Wae Kalamb,Kabupaten Manggarai Barat Wae Kalamb,ID,AQICN,-8.495189666748047,119.89399719238281,[],,"{""uid"": -536509, ""name"": ""Kabupaten Manggarai Barat Wae Kalamb"", ""city"": ""Kabupaten Manggarai Barat Wae Kalamb"", ""lat"": -8.495189666748047, ""lon"": 119.89399719238281}"
aqicn--418576,-418576,Kuching,Kuching,ID,AQICN,1.5503207,110.34696,[],,"{""uid"": -418576, ""name"": ""Kuching"", ""city"": ""Kuching"", ""lat"": 1.5503207, ""lon"": 110.34696}"
aqicn--526099,-526099,Kabupaten Aceh Tengah,Kabupaten Aceh Tengah,ID,AQICN,4.624090194702148,96.84210205078125,[],,"{""uid"": -526099, ""name"": ""Kabupaten Aceh Tengah"", ""city"": ""Kabupaten Aceh Tengah"", ""lat"": 4.624090194702148, ""lon"": 96.84210205078125}"
aqicn--418018,-418018,Ambon Gong Perdamaian,Ambon Gong Perdamaian,ID,AQICN,-3.6934099197387695,128.18099975585938,[],,"{""uid"": -418018, ""name"": ""Ambon Gong Perdamaian"", ""city"": ""Ambon Gong Perdamaian"", ""lat"": -3.6934099197387695, ""lon"": 128.18099975585938}"
aqicn--417100,-417100,Kabupaten Tangerang Tigaraksa,Kabupaten Tangerang Tigaraksa,ID,AQICN,-6.269869804382324,106.48400115966797,[],,"{""uid"": -417100, ""name"": ""Kabupaten Tangerang Tigaraksa"", ""city"": ""Kabupaten Tangerang Tigaraksa"", ""lat"": -6.269869804382324, ""lon"": 106.48400115966797}"
aqicn--416938,-416938,Gorontalo Taman Kota,Gorontalo Taman Kota,ID,AQICN,0.5517759919166565,123.05699920654297,[],,"{""uid"": -416938, ""name"": ""Gorontalo Taman Kota"", ""city"": ""Gorontalo Taman Kota"", ""lat"": 0.5517759919166565, ""lon"": 123.05699920654297}"
